,KPI_General,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
21,R&D,3.52,3.18,3.19,,,3.92,,3.48,3.49,3.18,3.24
22,Other,,,-0.04,,,0.27,4.27,-1.63,0.29,0.37,0.54
23,Operating Margin,1.37,7.91,5.44,,,8.22,6.75,8.59,7.83,8.53,8.00
24,Net Int Inc & Other,1.27,1.33,-2.52,,,-0.29,,,,,
25,EBT Margin,2.63,9.24,2.92,,,7.93,6.75,8.59,7.83,8.53,8.00
26,Profitability,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
27,Tax Rate %,17.69,47.12,39.03,,29.48,28.64,15.85,14.00,28.34,31.65,32.94
28,Net Margin %,2.13,4.00,1.10,,,5.32,5.33,5.80,5.36,5.64,5.20
29,Asset Turnover (Average),0.77,0.61,0.72,,,0.75,0.73,0.71,0.73,0.73,0.69
30,Return on Assets %,1.65,2.45,0.79,-2.02,3.40,3.99,3.92,4.13,3.89,4.14,3.61
31,Financial Leverage (Average),5.56,3.68,4.24,4.25,3.73,3.74,3.71,3.95,4.34,4.05,4.17
32,Return on Equity %,9.14,11.24,3.11,-8.58,13.50,14.91,14.60,15.81,16.13,17.33,15.75
33,Return on Invested Capital %,4.66,6.84,1.89,-4.68,8.22,6.77,7.19,7.21,6.43,6.81,5.66
34,Interest Coverage,,,,,5.51,37.42,,,,,
35,Key Ratios -> Growth,,,,,,,,,,,
36,,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,Latest Qtr
37,Revenue %,,,,,,,,,,,
38,Year over Year,1.29,-34.33,-3.47,,,,7.28,3.22,10.08,15.09,2.37
39,3-Year Average,3.63,-11.15,-13.73,,,3.50,,,6.82,9.35,
40,5-Year Average,-0.20,-7.84,-6.74,,,-6.81,2.80,4.19,,,
41,10-Year Average,,,-3.11,,,-3.56,-2.66,-1.43,-0.89,-0.01,
42,Operating Income %,,,,,,,,,,,
43,Year over Year,-7.76,280.02,-33.65,,,20.36,-11.84,31.37,0.34,25.27,-25.81
44,3-Year Average,-13.14,26.84,32.49,,-2.61,18.77,,11.71,5.13,18.20,
45,5-Year Average,57.21,15.90,10.56,,26.49,33.40,-0.40,14.18,,11.87,
46,10-Year Average,,,-2.69,,7.99,44.82,7.44,12.36,10.18,18.95,
47,Net Income %,,,,,,,,,,,
48,Year over Year,13.48,23.51,-64.44,,,25.99,7.55,12.26,1.75,21.00,
49,3-Year Average,93.38,17.39,-20.71,,4.11,58.72,,15.01,7.10,11.39,
50,5-Year Average,,-3.33,26.00,,9.60,11.92,8.87,37.01,,13.37,
51,10-Year Average,,,-11.53,,-5.47,,2.59,31.39,10.95,11.47,
52,EPS %,,,,,,,,,,,
53,Year over Year,12.51,21.46,-63.31,,,24.07,7.53,12.08,1.72,20.89,-31.15
54,3-Year Average,92.37,16.07,-20.56,,3.95,56.03,,14.35,7.03,11.29,
55,5-Year Average,,-3.99,25.97,,8.95,11.10,8.43,35.56,,12.96,
56,10-Year Average,,,-11.82,,-5.82,,2.03,30.68,10.33,10.93,
57,Key Ratios -> Cash Flow,,,,,,,,,,,
58,Cash Flow Ratios,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
59,Operating Cash Flow Growth % YOY,13.54,-6.47,-75.49,241.21,-22.05,,,,,,
60,Free Cash Flow Growth % YOY,,,,,-53.12,,,,,,
61,Cap Ex as a % of Sales,20.29,16.93,10.94,,,5.52,5.82,5.85,4.86,4.91,5.04
62,Free Cash Flow/Sales %,-11.05,-3.77,-7.60,,,-6.17,-6.79,-3.07,-5.84,-4.76,-5.33
63,Free Cash Flow/Net Income,-5.19,-0.94,-5.15,-2.70,0.74,-1.16,-1.27,-0.53,-1.09,-0.84,-1.03
64,Key Ratios -> Financial Health,,,,,,,,,,,
65,Balance Sheet Items (in %),2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,Latest Qtr
66,Cash & Short-Term Investments,6.90,13.55,5.23,13.40,10.66,8.72,10.51,11.38,9.11,9.03,11.23
67,Accounts Receivable,3.87,16.76,18.44,4.10,5.29,5.30,4.63,4.63,4.55,4.17,4.09
68,Inventory,9.34,10.43,12.71,9.97,10.71,11.53,10.87,10.30,11.00,10.94,11.28
69,Other Current Assets,33.52,5.33,5.51,14.66,15.30,15.71,15.38,15.50,16.01,18.15,17.40
70,Total Current Assets,53.64,46.06,41.89,42.14,41.97,41.26,41.39,41.80,40.68,42.29,44.00
71,Net PP&E,37.35,25.38,26.29,25.98,27.62,28.35,12.64,12.92,12.22,29.13,28.09
72,Intangibles,1.29,3.85,4.57,5.24,5.52,5.58,5.45,5.57,4.94,4.64,4.59
73,Other Long-Term Assets,7.72,24.70,27.25,26.64,24.89,24.82,40.52,39.70,42.16,23.94,23.32
74,Total Assets,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
75,Accounts Payable,7.22,5.14,4.90,4.36,5.64,6.42,5.42,5.39,5.37,4.86,5.45
76,Short-Term Debt,12.62,9.70,11.94,11.51,12.73,12.19,13.42,12.42,12.54,13.48,13.73
77,Taxes Payable,,,,,,,,,,,
78,Accrued Liabilities,,,,,,,,,,,
79,Other Short-Term Liabilities,34.04,21.39,22.63,21.03,20.76,18.41,17.19,17.26,17.41,17.16,16.36
80,Total Current Liabilities,53.88,36.23,39.47,36.90,39.12,37.03,36.03,35.08,35.32,35.49,35.54
81,Long-Term Debt,11.73,16.08,16.21,22.65,17.60,19.86,22.54,23.20,24.14,24.73,24.67
82,Other Long-Term Liabilities,16.41,20.51,20.72,16.96,16.50,16.36,14.51,16.39,17.52,15.11,15.81
83,Total Liabilities,82.03,72.82,76.39,76.51,73.22,73.25,73.08,74.67,76.97,75.34,76.02
84,Total Stockholders' Equity,17.97,27.18,23.61,23.49,26.78,26.75,26.92,25.33,23.03,24.66,23.98
85,Total Liabilities & Equity,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
86,Liquidity/Financial Health,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,Latest Qtr
87,Current Ratio,1.00,1.27,1.06,1.14,1.07,1.11,1.15,1.19,1.15,1.19,1.24
88,Quick Ratio,0.71,0.93,0.63,0.82,0.75,0.75,0.79,0.85,0.79,0.83,0.87
89,Financial Leverage,5.56,3.68,4.24,4.25,3.73,3.74,3.71,3.95,4.34,4.05,4.17
90,Debt/Equity,0.69,0.60,0.70,0.98,0.67,0.75,0.84,0.92,1.05,1.01,1.03
91,Key Ratios -> Efficiency Ratios,,,,,,,,,,,
92,Efficiency,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
93,Days Sales Outstanding,18.00,55.06,89.48,,,25.76,24.58,23.74,23.10,21.60,22.57
94,Days Inventory,53.55,76.98,75.84,82.64,66.66,71.23,71.54,69.22,68.58,69.21,74.80
95,Payables Period,41.09,49.94,32.94,33.72,32.32,38.68,37.71,35.37,34.57,32.14,37.57
96,Cash Conversion Cycle,30.45,82.11,132.38,,,58.32,58.40,57.59,57.11,58.66,59.80
97,Receivables Turnover,20.28,6.63,4.08,,,14.17,14.85,15.38,15.80,16.90,16.18
98,Inventory Turnover,6.82,4.74,4.81,4.42,5.48,5.12,5.10,5.27,5.32,5.27,4.88
99,Fixed Assets Turnover,2.14,1.89,2.78,,,2.68,3.65,5.57,5.78,3.46,3.47
100,Asset Turnover,0.77,0.61,0.72,,,0.75,0.73,0.71,0.73,0.73,0.69
