,KPI_General,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
22,Other,1.69,,4.31,5.32,7.03,4.54,7.44,5.84,4.33,4.38,4.10
23,Operating Margin,9.54,,10.77,9.64,7.78,11.36,9.96,10.48,10.71,11.32,12.06
24,Net Int Inc & Other,-2.70,,-3.61,-3.64,-2.88,-2.15,-1.79,,,,
25,EBT Margin,6.84,,7.16,6.00,4.90,9.21,8.17,10.48,10.71,11.32,12.06
26,Profitability,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
27,Tax Rate %,22.92,,26.99,27.33,23.88,26.49,23.15,24.27,23.91,23.39,23.77
28,Net Margin %,5.85,,5.22,4.36,3.71,6.76,6.15,7.94,8.11,8.87,9.24
29,Asset Turnover (Average),0.63,,0.63,0.60,0.68,0.70,0.76,0.78,0.69,0.64,0.61
30,Return on Assets %,3.66,8.78,3.31,2.62,2.54,4.74,4.70,6.21,5.64,5.70,5.59
31,Financial Leverage (Average),4.38,3.07,3.23,2.70,2.73,2.75,2.78,2.48,3.49,3.05,3.24
32,Return on Equity %,14.37,31.94,10.42,7.73,6.90,12.98,12.98,16.28,16.78,18.53,18.89
33,Return on Invested Capital %,8.34,17.70,5.12,4.32,4.27,8.23,7.16,11.53,10.19,10.73,9.62
34,Interest Coverage,,,,,,,,,,,
35,Key Ratios -> Growth,,,,,,,,,,,
36,,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,Latest Qtr
37,Revenue %,,,,,,,,,,,
38,Year over Year,5.82,,,-5.32,12.58,4.10,8.85,1.00,5.18,9.67,-1.45
39,3-Year Average,0.51,,6.36,2.48,,3.53,8.45,4.60,4.96,5.23,
40,5-Year Average,-0.02,,2.91,0.95,5.10,4.76,,4.06,6.27,5.71,
41,10-Year Average,,,1.61,1.33,1.73,2.34,3.21,3.48,3.57,5.41,
42,Operating Income %,,,,,,,,,,,
43,Year over Year,-1.71,14.20,12.37,-15.18,-9.18,51.98,-4.56,6.24,7.56,15.93,17.17
44,3-Year Average,,20.41,8.04,2.86,-4.70,5.39,9.62,15.51,2.93,9.83,
45,5-Year Average,17.29,14.90,,10.72,-0.58,8.48,4.66,3.49,8.52,13.95,
46,10-Year Average,,,1.17,-1.10,-1.39,12.80,9.66,,9.62,6.44,
47,Net Income %,,,,,,,,,,,
48,Year over Year,6.33,177.94,-63.51,-20.94,-4.27,89.85,-0.97,30.38,7.43,19.97,
49,3-Year Average,,98.46,2.55,-7.10,-34.88,12.84,21.64,34.83,11.52,18.89,
50,5-Year Average,11.89,34.74,,17.66,-3.98,7.82,-12.29,13.16,20.31,25.87,
51,10-Year Average,,,0.63,-3.80,-2.44,9.84,8.71,,18.98,9.93,
52,EPS %,,,,,,,,,,,
53,Year over Year,-50.36,167.10,-63.53,-21.11,-4.57,90.45,-1.00,30.41,7.25,20.05,15.82
54,3-Year Average,,90.11,-21.51,-8.40,-35.00,12.76,21.62,34.97,11.46,18.86,
55,5-Year Average,10.14,31.57,,14.60,-18.30,6.91,-12.34,13.10,20.27,25.92,
56,10-Year Average,,,-0.58,-4.97,-4.50,8.51,7.40,,17.40,1.43,
57,Key Ratios -> Cash Flow,,,,,,,,,,,
58,Cash Flow Ratios,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
59,Operating Cash Flow Growth % YOY,20.09,1.91,-15.76,48.97,7.40,-12.35,-10.43,14.10,12.36,18.59,
60,Free Cash Flow Growth % YOY,10.19,4.13,-23.69,105.52,12.08,-19.11,-24.44,15.79,14.10,27.16,
61,Cap Ex as a % of Sales,6.48,,5.34,5.05,4.31,4.42,4.85,5.37,5.61,5.43,5.47
62,Free Cash Flow/Sales %,8.04,,5.62,12.19,12.14,9.43,6.55,7.51,8.14,9.44,10.68
63,Free Cash Flow/Net Income,1.37,0.51,1.08,2.80,3.27,1.39,1.06,0.95,1.00,1.06,1.16
64,Key Ratios -> Financial Health,,,,,,,,,,,
65,Balance Sheet Items (in %),2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,Latest Qtr
66,Cash & Short-Term Investments,5.34,5.58,5.20,6.06,7.47,8.63,4.97,4.76,3.67,3.54,5.35
67,Accounts Receivable,10.38,11.35,11.34,11.96,12.95,13.38,14.48,14.75,12.95,13.44,15.08
68,Inventory,11.01,12.10,12.72,11.93,11.85,12.07,13.60,13.89,12.07,11.57,11.10
69,Other Current Assets,9.04,3.41,3.42,3.34,3.30,3.95,3.94,3.68,2.96,3.68,3.35
70,Total Current Assets,35.77,32.44,32.68,33.29,35.56,38.03,36.98,37.08,31.65,32.23,34.88
71,Net PP&E,15.87,17.16,18.08,18.43,19.09,18.62,19.21,19.52,16.27,16.74,15.57
72,Intangibles,43.00,44.32,43.03,42.21,39.15,36.87,36.54,36.59,45.31,42.31,39.39
73,Other Long-Term Assets,5.36,6.08,6.21,6.06,6.19,6.48,7.27,6.82,6.77,8.72,10.17
74,Total Assets,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
75,Accounts Payable,4.24,4.80,4.53,5.36,6.79,7.16,8.37,8.72,7.64,8.04,6.49
76,Short-Term Debt,5.98,2.10,10.98,2.32,2.74,6.03,3.84,4.11,1.98,3.26,
77,Taxes Payable,,0.11,0.12,0.18,0.12,0.14,0.14,0.20,0.09,1.25,1.56
78,Accrued Liabilities,,,,,,,,,,,
79,Other Short-Term Liabilities,17.54,13.65,10.72,9.72,11.39,12.04,13.17,14.30,12.37,10.42,14.69
80,Total Current Liabilities,27.76,20.65,26.35,17.58,21.04,25.38,25.52,27.33,22.07,22.97,22.74
81,Long-Term Debt,19.31,24.07,17.91,20.32,17.61,13.62,12.46,9.18,24.79,21.53,
82,Other Long-Term Liabilities,30.08,22.71,24.78,25.08,24.79,24.60,26.04,23.12,24.51,22.67,46.43
83,Total Liabilities,77.16,67.43,69.03,62.98,63.44,63.59,64.02,59.63,71.37,67.17,69.17
84,Total Stockholders' Equity,22.84,32.57,30.97,37.02,36.56,36.41,35.98,40.37,28.63,32.83,30.83
85,Total Liabilities & Equity,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
86,Liquidity/Financial Health,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,Latest Qtr
87,Current Ratio,1.29,1.57,1.24,1.89,1.69,1.50,1.45,1.36,1.43,1.40,1.53
88,Quick Ratio,0.70,0.96,0.72,1.18,1.09,0.98,0.89,0.82,0.85,0.86,1.02
89,Financial Leverage,4.38,3.07,3.23,2.70,2.73,2.75,2.78,2.48,3.49,3.05,3.24
90,Debt/Equity,0.86,0.76,0.61,0.58,0.51,0.40,0.36,0.24,0.89,0.67,0.72
91,Key Ratios -> Efficiency Ratios,,,,,,,,,,,
92,Efficiency,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,TTM
93,Days Sales Outstanding,69.34,,65.33,70.61,66.44,68.59,66.52,68.17,72.00,74.97,90.57
94,Days Inventory,139.23,138.06,143.04,154.01,130.13,126.63,127.81,133.09,140.54,146.88,151.84
95,Payables Period,51.87,53.97,53.71,61.64,66.50,73.87,77.31,82.71,88.58,97.53,89.53
96,Cash Conversion Cycle,156.69,,154.66,162.98,130.07,121.35,117.02,118.55,123.98,124.31,152.89
97,Receivables Turnover,5.26,,5.59,5.17,5.49,5.32,5.49,5.35,5.07,4.87,4.03
98,Inventory Turnover,2.62,2.64,2.55,2.37,2.80,2.88,2.86,2.74,2.59,2.49,2.40
99,Fixed Assets Turnover,3.37,,3.60,3.30,3.65,3.72,4.04,4.04,3.94,3.89,3.89
100,Asset Turnover,0.63,,0.63,0.60,0.68,0.70,0.76,0.78,0.69,0.64,0.61
